trial,seed,max_tokens,beam_size,pool_size,sample_per_beam,temperature,avg_query_sim,avg_combined_score,avg_tokens_generated,avg_decoding_time_sec,trial_wall_time_sec,query_samples
1,43,22,7,258,117,0.6008,0.8966866135597229,0.8925284147262573,22.0,14.752650022506714,15.068830728530884,1
2,44,46,11,218,109,1.1034,0.9135746955871582,0.9076208472251892,46.0,55.04832625389099,55.074774742126465,1
3,45,37,9,204,52,0.5573,0.909009575843811,0.9012064933776855,37.0,19.246378898620605,19.27219820022583,1
4,46,24,9,90,95,0.9108,0.8969579935073853,0.8899935483932495,24.0,16.19239115715027,16.21783971786499,1
5,47,42,4,190,90,0.8176,0.9086198210716248,0.9064401388168335,42.0,15.362882137298584,15.399985790252686,1
6,48,55,8,113,91,0.9981,0.9152981042861938,0.9096001386642456,55.0,46.7674765586853,46.81263875961304,1
7,49,24,8,185,34,0.7264,0.8869491815567017,0.8786303400993347,21.0,7.842904806137085,7.879929542541504,1
8,50,51,7,173,101,1.1236,0.9122748970985413,0.9085531234741211,51.0,38.39157271385193,38.41898703575134,1
9,51,35,11,221,40,0.6723,0.8964197039604187,0.893643319606781,35.0,17.223389148712158,17.24713110923767,1
10,52,37,3,265,85,0.8387,0.903232753276825,0.8966249227523804,37.0,9.281277179718018,9.312004566192627,1
