model,dataset,similarity,trials,info_appeared_1,info_appeared_5,info_appeared_10,info_sim,stuffing_appeared_1,stuffing_appeared_5,stuffing_appeared_10,stuffing_sim,adv_appeared_1,adv_appeared_5,adv_appeared_10,adv_sim
sentence-transformers/all-MiniLM-L6-v2,msmarco,cos_sim,50,0.0,0.0,0.0,0.005414592558518,0.04,0.14,0.2,0.5747297418117523,0.96,1.0,1.0,0.9320780611038209
Snowflake/snowflake-arctic-embed-m,msmarco,cos_sim,50,0.0,0.0,0.0,0.1718436509370803,0.68,0.74,0.74,0.5908276015520095,1.0,1.0,1.0,0.7487462925910949
sentence-transformers/all-mpnet-base-v2,msmarco,cos_sim,50,0.0,0.0,0.0,0.0105393499881029,0.12,0.16,0.24,0.5890861880779267,0.82,0.96,1.0,0.9032827138900756
sentence-transformers/gtr-t5-base,msmarco,cos_sim,50,0.0,0.0,0.0,0.3808503514528275,0.28,0.54,0.64,0.7804805564880372,0.96,1.0,1.0,0.9095910048484802
facebook/contriever-msmarco,msmarco,dot,50,0.0,0.0,0.0,0.5156783455610275,0.22,0.44,0.56,1.6475199913978578,1.0,1.0,1.0,2.071133720874786
facebook/contriever,msmarco,dot,50,0.0,0.0,0.0,0.4642331010103225,0.7,0.86,0.88,1.410994553565979,1.0,1.0,1.0,1.8667379307746887
intfloat/e5-base-v2,msmarco,cos_sim,50,0.0,0.0,0.0,0.6707439851760865,0.04,0.14,0.26,0.8444262886047363,0.96,1.0,1.0,0.9483978462219238
sentence-transformers/all-MiniLM-L6-v2,nq,cos_sim,50,0.0,0.0,0.0,-0.0051753016747534,0.06,0.26,0.34,0.5924013516306877,1.0,1.0,1.0,0.9365034019947052
sentence-transformers/multi-qa-mpnet-base-dot-v1,msmarco,dot,50,0.0,0.0,0.0,5.900033838748932,0.12,0.16,0.3,24.42333824157715,1.0,1.0,1.0,38.44749797821045
intfloat/e5-base-v2,nq,cos_sim,50,0.0,0.0,0.0,0.6477887725830078,0.1,0.3,0.38,0.8269819712638855,1.0,1.0,1.0,0.9405482244491578
sentence-transformers/msmarco-roberta-base-ance-firstp,msmarco,dot,50,0.0,0.0,0.0,697.71865234375,0.06,0.12,0.22,709.7313110351563,1.0,1.0,1.0,717.3225988769532
sentence-transformers/msmarco-roberta-base-ance-firstp,nq,dot,50,0.0,0.0,0.0,698.4961083984375,0.18,0.42,0.48,711.0881896972656,1.0,1.0,1.0,717.5459924316406
